,X,img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
3439,47120,/games/boxart/full_478704AmericaFrontccc.jpg,DarkStar One: Broken Alliance,X360,Simulation,Kalypso,Gaming Minds Studios,NA,6.4,NA,NA,0.2,0.11,NA,0.07,0.02,7/20/2010,
3440,47126,/games/boxart/577148ccc.jpg,Armored Core 4,PS3,Simulation,Sega,From Software,NA,6.6,NA,NA,0.2,0.09,0.09,0,0.01,3/20/2007,
3441,47135,/games/boxart/full_148462AmericaFrontccc.jpg,Spore Hero Arena,DS,Simulation,Electronic Arts,Maxis,NA,4.9,NA,NA,0.19,0.18,NA,0,0.01,10/6/2009,
3442,47136,/games/boxart/full_8891168AmericaFrontccc.jpg,Dawn of Discovery,Wii,Simulation,Ubisoft,Sunflowers Interactive,7.8,7.9,NA,NA,0.19,0.12,NA,0.06,0.01,6/23/2009,
3443,47141,/games/boxart/full_7863270AmericaFrontccc.jpg,IL-2 Sturmovik: Birds of Prey,PSP,Simulation,505 Games,SME Dynamic Systems Limited,NA,6.4,NA,NA,0.19,0.08,NA,0.07,0.04,9/8/2009,
3444,47145,/games/boxart/full_9267091AmericaFrontccc.jpg,Armored Core: For Answer,PS3,Simulation,Ubisoft,From Software,6.8,6.1,NA,NA,0.19,0.06,0.1,0.02,0.01,9/16/2008,
3445,47156,/games/boxart/9651356ccc.jpg,Star Trek: Legacy,X360,Simulation,Bethesda Softworks,Mad Doc Software,NA,6.4,NA,NA,0.18,0.14,NA,0.02,0.01,12/14/2006,
3446,47168,/games/boxart/full_4056110AmericaFrontccc.jpg,Trauma Team,Wii,Simulation,Atlus,Atlus Co.,NA,8.1,NA,NA,0.17,0.14,0.02,NA,0.01,5/18/2010,
3447,47169,/games/boxart/full_7101971AmericaFrontccc.jpg,Iron Chef America: Supreme Cuisine,Wii,Simulation,Destineer,Black Lantern Studios,NA,2,NA,NA,0.17,0.16,NA,NA,0.01,11/25/2008,
3448,47179,/games/boxart/full_apache-air-assault_8AmericaFront.jpg,Apache: Air Assault,X360,Simulation,Activision,Gaijin Entertainment,NA,6.8,NA,NA,0.16,0.12,NA,0.03,0.01,11/16/2010,
3449,47184,/games/boxart/6562030ccc.jpg,Innocent Life: A Futuristic Harvest Moon,PSP,Simulation,Natsume,ArtePiazza,NA,6.5,NA,NA,0.16,0.08,0.03,0.03,0.02,5/15/2007,
3450,47203,/games/boxart/full_the-sims-medieval-pirates-and-nobles_963AmericaFront.jpg,The Sims Medieval: Pirates and Nobles,PC,Simulation,Electronic Arts,The Sims Studio,NA,5.5,NA,NA,0.15,0.05,NA,0.08,0.01,8/30/2011,
3451,47207,/games/boxart/7001562ccc.jpg,Blazing Angels 2: Secret Missions of WWII,PS3,Simulation,Ubisoft,Ubisoft Romania,NA,7.2,NA,NA,0.15,0.1,NA,0.03,0.02,11/6/2007,
3452,47210,/games/boxart/full_6152273AmericaFrontccc.jpg,Armored Core: For Answer,X360,Simulation,Ubisoft,From Software,NA,6.5,NA,NA,0.15,0.06,0.07,0.01,0.01,9/16/2008,
3453,47217,/games/boxart/full_2168824PALFrontccc.jpg,Doshin the Giant,GC,Simulation,Nintendo,Param,NA,6.8,NA,NA,0.14,NA,0.14,NA,0,9/20/2002,
3454,47223,/games/boxart/689689ccc.jpg,Blazing Angels 2: Secret Missions of WWII,X360,Simulation,Ubisoft,Ubisoft Romania,NA,7.6,NA,NA,0.14,0.11,NA,0.02,0.01,9/18/2007,
3455,47230,/games/boxart/3744037ccc.gif,Anno 1701: Dawn of Discovery,DS,Simulation,Ubisoft,Sunflower Studios,NA,8,NA,NA,0.13,0.07,NA,0.05,0.01,3/4/2008,
3456,47246,/games/boxart/full_5719259AmericaFrontccc.jpg,Little Dragons Café,NS,Simulation,Aksys Games,Aksys Games,NA,7,NA,NA,0.13,0.09,0.02,NA,0.01,8/24/2018,9/26/2018
3457,47253,/games/boxart/full_7909056AmericaFrontccc.jpg,Colony Wars III: Red Sun,PS,Simulation,Midway Games,Psygnosis,NA,8.1,NA,NA,0.12,0.07,NA,0.05,0.01,6/2/2000,
3458,47261,/games/boxart/full_9181567AmericaFrontccc.png,The Sky Crawlers: Innocent Aces,Wii,Simulation,Xseed Games,Project ACES,NA,7.3,NA,NA,0.12,0.08,0.01,0.02,0.01,1/12/2010,
3459,47264,/games/boxart/full_4559194AmericaFrontccc.jpg,SimAnimals Africa,Wii,Simulation,Electronic Arts,The Sims Studio,NA,5.5,NA,NA,0.12,0.1,NA,0.01,0.01,10/27/2009,
3460,47287,/games/boxart/full_1078014AmericaFrontccc.jpg,Overcooked Special Edition,NS,Simulation,Team 17,Ghost Town Games,NA,8.4,NA,NA,0.11,0.08,NA,0.01,0.01,2/13/2018,1/8/2018
3461,47288,/games/boxart/full_5930186AmericaFrontccc.jpg,Dawn of Discovery,DS,Simulation,Ubisoft,Sunflowers Interactive,NA,7.9,NA,NA,0.11,0.07,NA,0.03,0.01,6/23/2009,
