"","X","img","title","console","genre","publisher","developer","critic_score","total_sales","na_sales","jp_sales","pal_sales","other_sales","release_date"
"36299",36865,"/games/boxart/full_8846589AmericaFrontccc.jpg","The Elder Scrolls III: Morrowind","XB","Role-Playing","Bethesda Softworks","Bethesda Softworks",8.2,2.86,2.09,0.03,0.63,0.11,"6/6/2002"
"36303",36869,"/games/boxart/full_6673831AmericaFrontccc.jpg","Pokémon: Let's Go, Eevee!","NS","Role-Playing","Nintendo","Game Freak",8.3,2.73,1.22,0.51,0.8,0.2,"11/16/2018"
"36308",36874,"/games/boxart/full_9613529AmericaFrontccc.jpg","Dragon Age: Origins","X360","Role-Playing","Electronic Arts","BioWare Edmonton",8.5,2.56,1.76,0.03,0.55,0.22,"11/3/2009"
"36333",36899,"/games/boxart/full_1819815AmericaFrontccc.jpg","Final Fantasy XIII","X360","Role-Playing","Square Enix","Square Enix",8.1,2.19,1.3,0.01,0.67,0.21,"3/9/2010"
"36341",36907,"/games/boxart/full_dark-souls_567AmericaFront.jpg","Dark Souls","PS3","Role-Playing","Namco Bandai","From Software",9,2.05,0.75,0.54,0.53,0.22,"10/4/2011"
"36342",36908,"/games/boxart/full_3596609AmericaFrontccc.jpg","Dragon Quest XI: Echoes of an Elusive Age","PS4","Role-Playing","Square Enix","Square Enix",9.5,2.04,0.29,1.43,0.22,0.1,"9/4/2018"
"36357",36923,"/games/boxart/full_5929576AmericaFrontccc.jpg","The Legend of Dragoon","PS","Role-Playing","Sony Computer Entertainment","SCEI",7.8,1.86,0.94,0.39,0.44,0.1,"6/11/2000"
"36374",36940,"/games/boxart/full_3173221AmericaFrontccc.jpg","Dragon Age: Origins","PS3","Role-Playing","Electronic Arts","BioWare Edmonton",8.7,1.67,0.96,0.08,0.42,0.21,"11/3/2009"
"36382",36951,"/games/boxart/7795178ccc.jpg","Dark Cloud","PS2","Role-Playing","Sony Computer Entertainment","Level 5",8.2,1.54,0.83,0.08,0.44,0.19,"5/28/2001"
"36390",36959,"/games/boxart/full_mass-effect-2_759AmericaFront.jpg","Mass Effect 2","PS3","Role-Playing","Electronic Arts","BioWare Edmonton",9.3,1.46,0.78,0.03,0.46,0.18,"1/18/2011"
"36405",36974,"/games/boxart/full_1517894AmericaFrontccc.jpg","Fallout 76","PS4","Role-Playing","Bethesda Softworks","Bethesda Game Studios",5.1,1.32,0.52,0.1,0.49,0.2,"11/14/2018"
"36421",36990,"/games/boxart/9492661ccc.jpg",".hack//Infection Part 1","PS2","Role-Playing","Bandai","CyberConnect2",7.7,1.27,0.49,0.26,0.38,0.13,"2/11/2003"
"36434",37003,"/games/boxart/1529312ccc.jpg","Final Fantasy I & II: Dawn of Souls","GBA","Role-Playing","Nintendo","Square Enix",7.1,1.19,0.64,0.29,0.24,0.02,"11/29/2004"
"36440",37009,"/games/boxart/full_8154944AmericaFrontccc.png","The Elder Scrolls V: Skyrim","NS","Role-Playing","Bethesda Softworks","Bethesda Softworks",8.6,1.15,0.67,0.06,0.32,0.1,"11/17/2017"
"36441",37010,"/games/boxart/full_5236311AmericaFrontccc.jpg","Dragon Quest VIII: Journey of the Cursed King","3DS","Role-Playing","Nintendo","Level 5 / Armor Project",8.8,1.15,0.14,0.88,0.11,0.02,"1/20/2017"
"36443",37012,"/games/boxart/7528916ccc.jpg","Brave Fencer Musashi","PS","Role-Playing","Square","SquareSoft",8.4,1.14,0.25,0.65,0.17,0.07,"10/31/1998"
"36449",37018,"/games/boxart/full_dragon-age-ii_539AmericaFront.jpg","Dragon Age II","X360","Role-Playing","Electronic Arts","BioWare Corp.",8,1.12,0.72,0.01,0.29,0.09,"3/8/2011"
"36459",37028,"/games/boxart/full_9132786AmericaFrontccc.jpg","Tales of Symphonia","GC","Role-Playing","Namco","Namco Tales Studio",8.5,1.1,0.54,0.31,0.21,0.04,"7/14/2004"
"36461",37030,"/games/boxart/1725250ccc.jpg","Untold Legends: Brotherhood of the Blade","PSP","Role-Playing","Sony Online Entertainment","Sony Online Entertainment",6.5,1.09,0.54,0.01,0.33,0.22,"3/22/2005"
"36465",37034,"/games/boxart/2081496ccc.jpg","Tales of Destiny","PS","Role-Playing","Namco","Wolfteam",6.2,1.04,0.09,0.83,0.06,0.07,"9/30/1998"
"36470",37039,"/games/boxart/9149926ccc.jpg","Breath of Fire III","PS","Role-Playing","Capcom","Capcom",7.6,1,0.29,0.46,0.19,0.07,"4/30/1998"
"36483",37052,"/games/boxart/3117641ccc.jpg","Suikoden III","PS2","Role-Playing","Konami","KCET",8.6,0.98,0.29,0.38,0.23,0.08,"10/24/2002"
"36489",37058,"/games/boxart/66929ccc.jpg","Dark Cloud 2","PS2","Role-Playing","Sony Computer Entertainment","Level 5",8.6,0.96,0.38,0.26,0.25,0.07,"2/17/2003"
"36495",37064,"/games/boxart/6574342ccc.jpg","Wild ARMs","PS","Role-Playing","Sony Computer Entertainment","Media.Vision",8.9,0.95,0.26,0.46,0.17,0.06,"4/30/1997"
"36496",37065,"/games/boxart/full_6305070AmericaFrontccc.jpg","White Knight Chronicles: International Edition","PS3","Role-Playing","Sony Computer Entertainment","Level 5",6.3,0.95,0.34,0.36,0.16,0.09,"2/2/2010"
"36497",37066,"/games/boxart/9790375ccc.jpg","SaGa Frontier 2","PS","Role-Playing","Square EA","SquareSoft",7.4,0.94,0.1,0.71,0.07,0.06,"1/31/2000"
"36498",37067,"/games/boxart/full_kingdom-hearts-recoded_606AmericaFront.jpg","Kingdom Hearts Re:coded","DS","Role-Playing","Square Enix","High Horse Entertainment",6.8,0.93,0.53,0.27,0.09,0.05,"1/11/2011"
"36500",37069,"/games/boxart/full_xenoblade-chronicles_503AmericaFront.jpg","Xenoblade Chronicles","Wii","Role-Playing","Nintendo","Monolith Soft",9.3,0.92,0.43,0.16,0.25,0.07,"4/6/2012"
"36501",37070,"/games/boxart/9416763ccc.jpg","Blue Dragon","X360","Role-Playing","Microsoft Game Studios","Mistwalker Corporation / Artoon",7.7,0.92,0.3,0.21,0.33,0.08,"8/28/2007"
"36504",37073,"/games/boxart/206111ccc.jpg","Lost Odyssey","X360","Role-Playing","Microsoft Game Studios","Mistwalker Corporation / Feelplus Inc.",7.5,0.9,0.45,0.11,0.26,0.08,"2/12/2008"
"36508",37077,"/games/boxart/full_4917983AmericaFrontccc.jpg","Ni no Kuni II: Revenant Kingdom","PS4","Role-Playing","Namco Bandai Games","Level 5",8.7,0.89,0.33,0.12,0.31,0.13,"3/23/2018"
"36511",37080,"/games/boxart/full_the-lord-of-the-rings-war-in-the-north_878AmericaFront.jpg","The Lord of the Rings: War in the North","X360","Role-Playing","Warner Bros. Interactive","Snowblind Studios",6.6,0.88,0.55,0,0.24,0.08,"11/1/2011"
"36512",37081,"/games/boxart/full_7753612AmericaFrontccc.jpg","Sonic Chronicles: The Dark Brotherhood","DS","Role-Playing","Sega","BioWare Corp.",7.3,0.88,0.5,0.01,0.29,0.08,"9/30/2008"
"36515",37084,"/games/boxart/4559675ccc.jpg","Vagrant Story","PS","Role-Playing","Square EA","SquareSoft",9.3,0.87,0.3,0.3,0.2,0.06,"5/15/2000"
"36518",37087,"/games/boxart/full_8964578AmericaFrontccc.jpg","Tales of the Abyss","3DS","Role-Playing","Namco Bandai","Namco Tales Studio",7.3,0.86,0.45,0.15,0.2,0.06,"2/14/2012"
"36520",37089,"/games/boxart/full_8120899AmericaFrontccc.jpg","Xenoblade Chronicles X","WiiU","Role-Playing","Nintendo","Monolith Soft",8.1,0.84,0.34,0.15,0.29,0.06,"12/4/2015"
"36521",37090,"/games/boxart/1675863ccc.jpg","Rogue Galaxy","PS2","Role-Playing","Sony Computer Entertainment","Level 5",8.3,0.84,0.24,0.39,0.16,0.05,"1/30/2007"
"36522",37091,"/games/boxart/full_dragon-age-ii_325AmericaFront.jpg","Dragon Age II","PS3","Role-Playing","Electronic Arts","BioWare Corp.",7.7,0.83,0.4,0.05,0.26,0.12,"3/8/2011"
"36524",37093,"/games/boxart/full_the-lord-of-the-rings-war-in-the-north_887AmericaFront.jpg","The Lord of the Rings: War in the North","PS3","Role-Playing","Warner Bros. Interactive","Snowblind Studios",6.5,0.82,0.25,0.01,0.43,0.12,"11/1/2011"
"36525",37094,"/games/boxart/full_6440185AmericaFrontccc.jpg","Shin Megami Tensei: Persona 4","PS2","Role-Playing","Atlus","Atlus",9.2,0.82,0.34,0.36,0.04,0.08,"12/8/2008"
